split,index,label,mse
normal,0,7,0.0023096762597560883
normal,1,2,0.00591385830193758
normal,2,1,0.0008960689883679152
normal,3,0,0.005641470197588205
normal,4,4,0.004155699163675308
normal,5,1,0.0005978282424621284
normal,6,4,0.00907154195010662
normal,7,5,0.009499465115368366
normal,8,0,0.003084855852648616
normal,9,6,0.0113905044272542
normal,10,0,0.004452077206224203
normal,11,1,0.0018933077808469534
normal,12,5,0.009163525886833668
normal,13,7,0.0025505367666482925
normal,14,3,0.012673875316977501
normal,15,4,0.005167748313397169
normal,16,6,0.003348414320498705
normal,17,6,0.009998452849686146
normal,18,5,0.005654684733599424
normal,19,4,0.007338339928537607
normal,20,0,0.009955636225640774
normal,21,7,0.004545985721051693
normal,22,4,0.002780995098873973
normal,23,0,0.0041049146093428135
normal,24,1,0.002442806726321578
normal,25,3,0.004283257760107517
normal,26,1,0.00172808940988034
normal,27,3,0.004014937672764063
normal,28,4,0.011870198883116245
normal,29,7,0.0037931001279503107
normal,30,2,0.008115403354167938
normal,31,7,0.011105847544968128
normal,32,1,0.00074329151539132
normal,33,2,0.007735302206128836
normal,34,1,0.0011949260951951146
normal,35,1,0.0015903711318969727
normal,36,7,0.006031928118318319
normal,37,4,0.003872341476380825
normal,38,2,0.008901177905499935
normal,39,3,0.0032112537883222103
normal,40,5,0.007108358666300774
normal,41,1,0.001942136907018721
normal,42,2,0.010894489474594593
normal,43,4,0.008392199873924255
normal,44,4,0.0060714371502399445
normal,45,6,0.0035717387218028307
normal,46,3,0.005798062775284052
normal,47,5,0.005868260748684406
normal,48,5,0.008214837871491909
normal,49,6,0.01385097112506628
normal,50,0,0.00414477800950408
normal,51,4,0.004596921149641275
normal,52,1,0.0016871767584234476
normal,53,5,0.005783827975392342
normal,54,7,0.003975059371441603
normal,55,8,0.00815188605338335
normal,56,3,0.00523195369169116
normal,57,7,0.007379950024187565
normal,58,4,0.004670934751629829
normal,59,6,0.009669041261076927
normal,60,4,0.007497096434235573
normal,61,3,0.006072241347283125
normal,62,0,0.003103860653936863
normal,63,7,0.0059281811118125916
normal,64,0,0.0038545478601008654
normal,65,2,0.014079158194363117
normal,66,1,0.0011202526511624455
normal,67,7,0.0037430867087095976
normal,68,3,0.005677437409758568
normal,69,2,0.007262372877448797
normal,70,7,0.004140917677432299
normal,71,7,0.0029943427070975304
normal,72,6,0.004711896646767855
normal,73,2,0.0046419124118983746
normal,74,7,0.0031619234941899776
normal,75,8,0.01171137671917677
normal,76,4,0.005426960065960884
normal,77,7,0.0030943392775952816
normal,78,3,0.014539032243192196
normal,79,6,0.005739231593906879
normal,80,1,0.0017901400569826365
normal,81,3,0.004498573951423168
normal,82,6,0.004568621516227722
normal,83,3,0.0037736897356808186
normal,84,1,0.00282567972317338
normal,85,4,0.00845271535217762
normal,86,1,0.004407715052366257
normal,87,7,0.009031668305397034
normal,88,6,0.009585166350007057
normal,89,6,0.01113050151616335
normal,90,0,0.006648829206824303
normal,91,5,0.00908367708325386
normal,92,4,0.008903095498681068
normal,93,2,0.011622458696365356
normal,94,1,0.002239325549453497
normal,95,4,0.00705589447170496
normal,96,8,0.007668288424611092
normal,97,7,0.002623078180477023
normal,98,3,0.003491913666948676
normal,99,7,0.004433614667505026
normal,100,4,0.002571183955296874
normal,101,4,0.0038536444772034883
normal,102,4,0.004467810038477182
normal,103,2,0.009013672359287739
